Loading Data...
./datasets_phish_scam/undirected-40000.pkl
Edge Count: 1374388
Average Degree: 68.7194
Node Count: 40000
Labeled Node Count: 163
========================training times:0========================
Extracting 1-hop subgraphs...
Done!
Extracting 1-hop subgraphs...
Done!
emb dim:  64
Ethident
Start Training...
Now Best: {'train_loss': 19.54182243347168, 'val_loss': 1095.517822265625, 'precision': 0.0019398642095053346, 'recall': 0.11538461538461539, 'F1': 0.0038155802861685214, 'Micro F1:': 0.7650367481625918}
Epoch: 01, Train_Loss: 19.5418, Val_Loss: 1095.5178, Precision: 0.0019, Recall: 0.1154, F1: 0.0038, Micro F1: 0.7650
Epoch: 02, Train_Loss: 1061.8284, Val_Loss: 186.4510, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9511
Epoch: 03, Train_Loss: 198.0051, Val_Loss: 3.4445, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 04, Train_Loss: 77.2245, Val_Loss: 2.2837, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 05, Train_Loss: 143.9747, Val_Loss: 2.4413, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 06, Train_Loss: 182.9080, Val_Loss: 2.5448, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 07, Train_Loss: 198.0258, Val_Loss: 2.5741, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 08, Train_Loss: 196.8082, Val_Loss: 2.6383, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 09, Train_Loss: 181.2642, Val_Loss: 2.6148, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 10, Train_Loss: 159.7423, Val_Loss: 2.4072, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 11, Train_Loss: 138.5693, Val_Loss: 2.1196, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 12, Train_Loss: 115.2269, Val_Loss: 1.8281, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 13, Train_Loss: 85.6939, Val_Loss: 1.5052, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 14, Train_Loss: 52.7662, Val_Loss: 1.1982, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 15, Train_Loss: 15.5379, Val_Loss: 117.9428, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9684
Now Best: {'train_loss': 120.99998474121094, 'val_loss': 77.6462173461914, 'precision': 0.002751031636863824, 'recall': 0.038461538461538464, 'F1': 0.005134788189987163, 'Micro F1:': 0.9418779061046948}
Epoch: 16, Train_Loss: 121.0000, Val_Loss: 77.6462, Precision: 0.0028, Recall: 0.0385, F1: 0.0051, Micro F1: 0.9419
