Loading Data...
./datasets_phish_scam/undirected-30000.pkl
Graph Edge Count: 1268798
Graph Average Degree: 84.58653333333334
Graph Node Count: 30000
Undirected Graph Edge Count: 1268798
Undirected Graph Average Degree: 84.58653333333334
Undirected Graph Node Count: 30000
Labeled Node Count: 125
========================training times:0========================
Extracting 1-hop subgraphs...
Done!
Extracting 1-hop subgraphs...
Done!
SAMamba
Start Training...
Now Best: {'train_loss': 46.35303497314453, 'val_loss': 12.411225318908691, 'precision': 0.011012282930961457, 'recall': 0.5652173913043478, 'F1': 0.02160365600332364, 'Micro F1:': 0.7645}
Epoch: 01, Train_Loss: 46.3530, Val_Loss: 12.4112, Precision: 0.0110, Recall: 0.5652, F1: 0.0216, Micro F1: 0.7645
Epoch: 02, Train_Loss: 13.4226, Val_Loss: 1.1336, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9793
Epoch: 03, Train_Loss: 0.7219, Val_Loss: 1.4791, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9894
Epoch: 04, Train_Loss: 0.8524, Val_Loss: 1.7628, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9918
Epoch: 05, Train_Loss: 0.9624, Val_Loss: 1.9993, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9927
Epoch: 06, Train_Loss: 1.0555, Val_Loss: 2.2014, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9938
Epoch: 07, Train_Loss: 1.1358, Val_Loss: 2.3739, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9942
Epoch: 08, Train_Loss: 1.2045, Val_Loss: 2.5197, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9943
Epoch: 09, Train_Loss: 1.2641, Val_Loss: 2.6467, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9936
Epoch: 10, Train_Loss: 1.3192, Val_Loss: 3.0382, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9854
Epoch: 11, Train_Loss: 1.4172, Val_Loss: 2.9060, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9948
Epoch: 12, Train_Loss: 1.4139, Val_Loss: 3.0419, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 13, Train_Loss: 1.4601, Val_Loss: 3.1648, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 14, Train_Loss: 1.5023, Val_Loss: 3.2750, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 15, Train_Loss: 1.5404, Val_Loss: 3.3732, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 16, Train_Loss: 1.5757, Val_Loss: 3.4605, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 17, Train_Loss: 1.6054, Val_Loss: 3.5378, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 18, Train_Loss: 1.6314, Val_Loss: 3.6065, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 19, Train_Loss: 1.6549, Val_Loss: 3.6676, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 20, Train_Loss: 1.6750, Val_Loss: 3.7210, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 21, Train_Loss: 1.6919, Val_Loss: 3.7653, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 22, Train_Loss: 1.7059, Val_Loss: 3.8013, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 23, Train_Loss: 1.7175, Val_Loss: 3.8308, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 24, Train_Loss: 1.7263, Val_Loss: 3.8550, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 25, Train_Loss: 1.7332, Val_Loss: 3.8741, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9953
Epoch: 26, Train_Loss: 1.7369, Val_Loss: 3.8882, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 27, Train_Loss: 1.7399, Val_Loss: 3.8961, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 28, Train_Loss: 1.7404, Val_Loss: 3.8993, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 29, Train_Loss: 1.7388, Val_Loss: 3.8989, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 30, Train_Loss: 1.7352, Val_Loss: 3.8928, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 31, Train_Loss: 1.7309, Val_Loss: 3.8835, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 32, Train_Loss: 1.7250, Val_Loss: 3.8720, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 33, Train_Loss: 1.7166, Val_Loss: 3.8568, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 34, Train_Loss: 1.7078, Val_Loss: 3.8384, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 35, Train_Loss: 1.6971, Val_Loss: 3.8167, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9952
Epoch: 36, Train_Loss: 1.6856, Val_Loss: 3.7922, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 37, Train_Loss: 1.6723, Val_Loss: 3.7646, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 38, Train_Loss: 1.6576, Val_Loss: 3.7342, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 39, Train_Loss: 1.6421, Val_Loss: 3.7011, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 40, Train_Loss: 1.6255, Val_Loss: 3.6661, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 41, Train_Loss: 1.6080, Val_Loss: 3.6281, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 42, Train_Loss: 1.5895, Val_Loss: 3.5883, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 43, Train_Loss: 1.5693, Val_Loss: 3.5453, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 44, Train_Loss: 1.5489, Val_Loss: 3.4989, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 45, Train_Loss: 1.5274, Val_Loss: 3.4520, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 46, Train_Loss: 1.5040, Val_Loss: 3.4026, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 47, Train_Loss: 1.4803, Val_Loss: 3.3500, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 48, Train_Loss: 1.4550, Val_Loss: 3.2951, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 49, Train_Loss: 1.4297, Val_Loss: 3.2397, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9948
Epoch: 50, Train_Loss: 1.4021, Val_Loss: 3.1812, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9945
Epoch: 51, Train_Loss: 1.3742, Val_Loss: 3.1207, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9947
Epoch: 52, Train_Loss: 1.3452, Val_Loss: 3.0553, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 53, Train_Loss: 1.3161, Val_Loss: 2.9876, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 54, Train_Loss: 1.2853, Val_Loss: 2.9210, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 55, Train_Loss: 1.2529, Val_Loss: 2.8518, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 56, Train_Loss: 1.2190, Val_Loss: 2.7769, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 57, Train_Loss: 1.1832, Val_Loss: 2.6946, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 58, Train_Loss: 1.1469, Val_Loss: 2.6089, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 59, Train_Loss: 1.1081, Val_Loss: 2.5206, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9948
Epoch: 60, Train_Loss: 1.0741, Val_Loss: 2.4306, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 61, Train_Loss: 1.0348, Val_Loss: 2.3388, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 62, Train_Loss: 0.9888, Val_Loss: 2.2375, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 63, Train_Loss: 0.9434, Val_Loss: 2.1281, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9951
Epoch: 64, Train_Loss: 0.8954, Val_Loss: 2.0146, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 65, Train_Loss: 0.8449, Val_Loss: 1.8974, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 66, Train_Loss: 0.7922, Val_Loss: 1.7758, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9950
Epoch: 67, Train_Loss: 0.7393, Val_Loss: 1.6514, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 68, Train_Loss: 0.6843, Val_Loss: 1.5224, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9948
Epoch: 69, Train_Loss: 0.6273, Val_Loss: 1.3877, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 70, Train_Loss: 0.5696, Val_Loss: 1.2447, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 71, Train_Loss: 0.5100, Val_Loss: 1.1012, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9946
Epoch: 72, Train_Loss: 0.4506, Val_Loss: 0.9563, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9942
Epoch: 73, Train_Loss: 0.3924, Val_Loss: 0.8098, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9933
Now Best: {'train_loss': 0.3372107148170471, 'val_loss': 0.6660677790641785, 'precision': 0.041666666666666664, 'recall': 0.021739130434782608, 'F1': 0.028571428571428567, 'Micro F1:': 0.9932}
Epoch: 74, Train_Loss: 0.3372, Val_Loss: 0.6661, Precision: 0.0417, Recall: 0.0217, F1: 0.0286, Micro F1: 0.9932
Epoch: 75, Train_Loss: 0.2823, Val_Loss: 3.3237, Precision: 0.0074, Recall: 0.0217, F1: 0.0110, Micro F1: 0.9821
Now Best: {'train_loss': 0.8498469591140747, 'val_loss': 0.5656948089599609, 'precision': 0.08490566037735849, 'recall': 0.1956521739130435, 'F1': 0.11842105263157894, 'Micro F1:': 0.9866}
Epoch: 76, Train_Loss: 0.8498, Val_Loss: 0.5657, Precision: 0.0849, Recall: 0.1957, F1: 0.1184, Micro F1: 0.9866
Now Best: {'train_loss': 0.27053120732307434, 'val_loss': 0.6499546766281128, 'precision': 0.08653846153846154, 'recall': 0.1956521739130435, 'F1': 0.12, 'Micro F1:': 0.9868}
Epoch: 77, Train_Loss: 0.2705, Val_Loss: 0.6500, Precision: 0.0865, Recall: 0.1957, F1: 0.1200, Micro F1: 0.9868
Now Best: {'train_loss': 0.2869204878807068, 'val_loss': 0.7215029001235962, 'precision': 0.11428571428571428, 'recall': 0.17391304347826086, 'F1': 0.13793103448275862, 'Micro F1:': 0.99}
Epoch: 78, Train_Loss: 0.2869, Val_Loss: 0.7215, Precision: 0.1143, Recall: 0.1739, F1: 0.1379, Micro F1: 0.9900
Epoch: 79, Train_Loss: 0.2992, Val_Loss: 0.8255, Precision: 0.0816, Recall: 0.0870, F1: 0.0842, Micro F1: 0.9913
Epoch: 80, Train_Loss: 0.3352, Val_Loss: 0.9135, Precision: 0.0909, Recall: 0.0870, F1: 0.0889, Micro F1: 0.9918
Epoch: 81, Train_Loss: 0.3675, Val_Loss: 0.9765, Precision: 0.0870, Recall: 0.0870, F1: 0.0870, Micro F1: 0.9916
Epoch: 82, Train_Loss: 0.3918, Val_Loss: 1.0204, Precision: 0.0851, Recall: 0.0870, F1: 0.0860, Micro F1: 0.9915
Epoch: 83, Train_Loss: 0.4124, Val_Loss: 1.0458, Precision: 0.0741, Recall: 0.0870, F1: 0.0800, Micro F1: 0.9908
Epoch: 84, Train_Loss: 0.4231, Val_Loss: 1.0639, Precision: 0.1111, Recall: 0.1739, F1: 0.1356, Micro F1: 0.9898
Epoch: 85, Train_Loss: 0.4280, Val_Loss: 1.0905, Precision: 0.0928, Recall: 0.1957, F1: 0.1259, Micro F1: 0.9875
Epoch: 86, Train_Loss: 0.4425, Val_Loss: 1.1312, Precision: 0.0887, Recall: 0.2391, F1: 0.1294, Micro F1: 0.9852
Now Best: {'train_loss': 0.4694555103778839, 'val_loss': 1.1578184366226196, 'precision': 0.10975609756097561, 'recall': 0.1956521739130435, 'F1': 0.140625, 'Micro F1:': 0.989}
Epoch: 87, Train_Loss: 0.4695, Val_Loss: 1.1578, Precision: 0.1098, Recall: 0.1957, F1: 0.1406, Micro F1: 0.9890
Epoch: 88, Train_Loss: 0.4650, Val_Loss: 1.1992, Precision: 0.1111, Recall: 0.1739, F1: 0.1356, Micro F1: 0.9898
