Loading Data...
./datasets_phish_scam/undirected-40000.pkl
Graph Edge Count: 1374388
Graph Average Degree: 68.7194
Graph Node Count: 40000
Undirected Graph Edge Count: 1374388
Undirected Graph Average Degree: 68.7194
Undirected Graph Node Count: 40000
Labeled Node Count: 163
========================training times:0========================
Extracting 1-hop subgraphs...
Done!
Extracting 1-hop subgraphs...
Done!
SGFormer
Start Training...
Now Best: {'train_loss': 0.8246225714683533, 'val_loss': 0.8051878213882446, 'precision': 0.0015107814860596072, 'recall': 0.21153846153846154, 'F1': 0.0030001363698349925, 'Micro F1:': 0.45170241487925605}
Epoch: 01, Train_Loss: 0.8246, Val_Loss: 0.8052, Precision: 0.0015, Recall: 0.2115, F1: 0.0030, Micro F1: 0.4517
Epoch: 02, Train_Loss: 0.7885, Val_Loss: 0.7015, Precision: 0.0008, Recall: 0.0962, F1: 0.0016, Micro F1: 0.5370
Epoch: 03, Train_Loss: 0.7470, Val_Loss: 0.6272, Precision: 0.0007, Recall: 0.0385, F1: 0.0013, Micro F1: 0.7779
Epoch: 04, Train_Loss: 0.7080, Val_Loss: 0.5672, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9406
Epoch: 05, Train_Loss: 0.6700, Val_Loss: 0.5109, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9939
Epoch: 06, Train_Loss: 0.6327, Val_Loss: 0.4619, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9949
Epoch: 07, Train_Loss: 0.6020, Val_Loss: 0.4192, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9954
Epoch: 08, Train_Loss: 0.5675, Val_Loss: 0.3816, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9960
Epoch: 09, Train_Loss: 0.5397, Val_Loss: 0.3478, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9960
Epoch: 10, Train_Loss: 0.5081, Val_Loss: 0.3185, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9960
Epoch: 11, Train_Loss: 0.4787, Val_Loss: 0.2928, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9960
Epoch: 12, Train_Loss: 0.4514, Val_Loss: 0.2706, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9960
Epoch: 13, Train_Loss: 0.4264, Val_Loss: 0.2512, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 14, Train_Loss: 0.4044, Val_Loss: 0.2340, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 15, Train_Loss: 0.3823, Val_Loss: 0.2189, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 16, Train_Loss: 0.3626, Val_Loss: 0.2060, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 17, Train_Loss: 0.3421, Val_Loss: 0.1946, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 18, Train_Loss: 0.3260, Val_Loss: 0.1844, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 19, Train_Loss: 0.3089, Val_Loss: 0.1754, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 20, Train_Loss: 0.2952, Val_Loss: 0.1672, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 21, Train_Loss: 0.2794, Val_Loss: 0.1597, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 22, Train_Loss: 0.2652, Val_Loss: 0.1528, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 23, Train_Loss: 0.2536, Val_Loss: 0.1464, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 24, Train_Loss: 0.2422, Val_Loss: 0.1405, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 25, Train_Loss: 0.2327, Val_Loss: 0.1351, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 26, Train_Loss: 0.2218, Val_Loss: 0.1302, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 27, Train_Loss: 0.2103, Val_Loss: 0.1257, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 28, Train_Loss: 0.2008, Val_Loss: 0.1217, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 29, Train_Loss: 0.1936, Val_Loss: 0.1180, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 30, Train_Loss: 0.1884, Val_Loss: 0.1147, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 31, Train_Loss: 0.1798, Val_Loss: 0.1118, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 32, Train_Loss: 0.1740, Val_Loss: 0.1091, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 33, Train_Loss: 0.1680, Val_Loss: 0.1067, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 34, Train_Loss: 0.1640, Val_Loss: 0.1045, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
Epoch: 35, Train_Loss: 0.1575, Val_Loss: 0.1025, Precision: 0.0000, Recall: 0.0000, F1: 0.0000, Micro F1: 0.9961
